"appId","settingId","appName","title","description","default","type","enum","enumLabels","minimum","maximum","oneOf","multipleOf","schema"
"com.freedomscientific.jaws","Braille.AllDotsBrailleCursor","JAWS","All Dots Braille Cursor","Whether to display the braille cursor as all dots raised instead of showing it using only dots seven and eight.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""All Dots Braille Cursor"",""description"":""Whether to display the braille cursor as all dots raised instead of showing it using only dots seven and eight."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.AttributeRotationDelay","JAWS","Attribute Rotation Delay","When in Attribute Mode and characters have multiple attributes, determines how long each attribute should be shown for. This value is in Milliseconds.",1000,"integer",,,,,,,"{""title"":""Attribute Rotation Delay"",""description"":""When in Attribute Mode and characters have multiple attributes, determines how long each attribute should be shown for. This value is in Milliseconds."",""type"":""integer"",""default"":1000}"
"com.freedomscientific.jaws","Braille.AutoPanMode","JAWS","Auto Pan Mode","The ""Auto Pan"" algorithm to use.",255,,"[0,1,2,3,4,5,6,255]","[""off"",""move display minimally to include whole word containing cursor"",""match user pan"",""move display to show whole word at cursor nearest the middle of the display area"",""maximize text after cursor"",""maximize text before cursor"",""autopan to default structured segment"",""Smart Autopan, autopan using the best algorithm for the current situation""]",,,,,"{""title"":""Auto Pan Mode"",""description"":""The \""Auto Pan\"" algorithm to use."",""enum"":[0,1,2,3,4,5,6,255],""enumLabels"":[""off"",""move display minimally to include whole word containing cursor"",""match user pan"",""move display to show whole word at cursor nearest the middle of the display area"",""maximize text after cursor"",""maximize text before cursor"",""autopan to default structured segment"",""Smart Autopan, autopan using the best algorithm for the current situation""],""default"":255}"
"com.freedomscientific.jaws","Braille.BrailleAutoDetectBluetooth","JAWS","Autodetect Bluetooth Braille Display","Whether to automatically detect bluetooth displays.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Autodetect Bluetooth Braille Display"",""description"":""Whether to automatically detect bluetooth displays."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.BrailleAutoRouteToCursor","JAWS","Braille Auto Route To Cursor","Whether to automatically route the Braille display to the active cursor whenever the active cursor moves or a key on the keyboard is pressed.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Braille Auto Route To Cursor"",""description"":""Whether to automatically route the Braille display to the active cursor whenever the active cursor moves or a key on the keyboard is pressed."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.BrailleCursorBlinkRate","JAWS","Braille Cursor Blink Rate","Speed, in milliseconds, at which the cursor on the braille display should blink.",500,"integer",,,,,,,"{""title"":""Braille Cursor Blink Rate"",""description"":""Speed, in milliseconds, at which the cursor on the braille display should blink."",""type"":""integer"",""default"":500}"
"com.freedomscientific.jaws","Braille.BrailleKeyInterruptSpeech","JAWS","Braille Key Interrupt Speech","Whether to Interrupt speech if a keystroke in the Braille display is pressed.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Braille Key Interrupt Speech"",""description"":""Whether to Interrupt speech if a keystroke in the Braille display is pressed."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.BrailleMessages","JAWS","Enable Flash Messages","Whether or not to show Flash Messages on a braille display.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Enable Flash Messages"",""description"":""Whether or not to show Flash Messages on a braille display."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.BrailleMode","JAWS","Braille Mode","Use this option to control the format of the information sent to the braille display. When Line mode is selected, JAWS sends the line of text at the current cursor position to the braille display. When Structured mode is selected, JAWS sends information to the display that is relevant to the current cursor position. The information sent includes things such as control type, dialog name, or number of items in a list. When Speech Output mode is selected, JAWS sends the same text to the display that it sends to the synthesizer. The default setting for this option is Structured.",1,"number","[0,1,2,3]","[""line"",""structured"",""speech output"",""attribute indicators""]",,,,,"{""title"":""Braille Mode"",""description"":""Use this option to control the format of the information sent to the braille display. When Line mode is selected, JAWS sends the line of text at the current cursor position to the braille display. When Structured mode is selected, JAWS sends information to the display that is relevant to the current cursor position. The information sent includes things such as control type, dialog name, or number of items in a list. When Speech Output mode is selected, JAWS sends the same text to the display that it sends to the synthesizer. The default setting for this option is Structured."",""type"":""number"",""default"":1,""enum"":[0,1,2,3],""enumLabels"":[""line"",""structured"",""speech output"",""attribute indicators""]}"
"com.freedomscientific.jaws","Braille.BrailleMoveActiveCursor","JAWS","Braille Move Active Cursor","Whether to move the active cursor when the Braille cursor moves.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Braille Move Active Cursor"",""description"":""Whether to move the active cursor when the Braille cursor moves."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.BrailleSleepMode","JAWS","Enable Braille Sleep Mode","Whether to turn off the braille driver, typically used to disable braille for a specific application.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Enable Braille Sleep Mode"",""description"":""Whether to turn off the braille driver, typically used to disable braille for a specific application."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.BrailleVerbosity","JAWS","Braille Verbosity","Sets braille verbosity for Flash messages.",,,"[0,1,2]","[""beginner"",""intermediate"",""advanced""]",,,,,"{""title"":""Braille Verbosity"",""description"":""Sets braille verbosity for Flash messages."",""enum"":[0,1,2],""enumLabels"":[""beginner"",""intermediate"",""advanced""]}"
"com.freedomscientific.jaws","Braille.ContractedBrailleInput","JAWS","Contracted Braille Input","Enable contracted braille to be entered on the braille display's keyboard.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Contracted Braille Input"",""description"":""Enable contracted braille to be entered on the braille display's keyboard."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.EightDotBraille","JAWS","Braille Dots","The number of braille dots (six or eight) to use.",1,,"[0,1]","[""6 dot braille"",""8 dot braille""]",,,,,"{""title"":""Braille Dots"",""description"":""The number of braille dots (six or eight) to use."",""enum"":[0,1],""enumLabels"":[""6 dot braille"",""8 dot braille""],""default"":1}"
"com.freedomscientific.jaws","Braille.FilterControlCharacters","JAWS","Filter Control Characters","Whether or not to filter certain control characters (currently newlines, linefeeds and tabs).",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Filter Control Characters"",""description"":""Whether or not to filter certain control characters (currently newlines, linefeeds and tabs)."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.GeneralizeBullets","JAWS","Generalize Bullets","Whether to treat all bullets the same.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Generalize Bullets"",""description"":""Whether to treat all bullets the same."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.Grade2SuppressCapitalSigns","JAWS","Grade2 Suppress Capital Signs","When Grade 2 is on, whether or not to show capital indicators.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Grade2 Suppress Capital Signs"",""description"":""When Grade 2 is on, whether or not to show capital indicators."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.MessagePrefixes","JAWS","Enable Flash Message Prefixes","If a display has no Status Cells, whether or not to prepend the Message Prefix to the Flash Message.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Enable Flash Message Prefixes"",""description"":""If a display has no Status Cells, whether or not to prepend the Message Prefix to the Flash Message."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.MessageStatusText","JAWS","Message Status Text","The text to show in the status area of the display when a Flash message is being shown if the display has no status cells, the text will be prepended to the Flash message.","msg","string",,,,,,,"{""title"":""Message Status Text"",""description"":""The text to show in the status area of the display when a Flash message is being shown if the display has no status cells, the text will be prepended to the Flash message."",""type"":""string"",""default"":""msg""}"
"com.freedomscientific.jaws","Braille.MessageTime","JAWS","Flash Message Timeout","When a Flash message is sent to the display via a script, how long in milliseconds should it be shown if not specified by the script.",5000,"integer",,,,,,,"{""title"":""Flash Message Timeout"",""description"":""When a Flash message is sent to the display via a script, how long in milliseconds should it be shown if not specified by the script."",""type"":""integer"",""default"":5000}"
"com.freedomscientific.jaws","Braille.ReversePanningButtons","JAWS","Reverse Panning Buttons","Whether or not panning buttons are reversed.",0,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Reverse Panning Buttons"",""description"":""Whether or not panning buttons are reversed."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":0}"
"com.freedomscientific.jaws","Braille.StructuredModeReverseOrder","JAWS","Reverse Order of Structured Data","Whether to reverse the order of the structured data to show the focused control's info first, followed by its grouping information, and then the dialog box information. By default, items are read in the opposite order.",1,,"[0,1]","[""off"",""on""]",,,,,"{""title"":""Reverse Order of Structured Data"",""description"":""Whether to reverse the order of the structured data to show the focused control's info first, followed by its grouping information, and then the dialog box information. By default, items are read in the opposite order."",""enum"":[0,1],""enumLabels"":[""off"",""on""],""default"":1}"
"com.freedomscientific.jaws","Braille.UseHowManyStatusCells","JAWS","Use How Many Status Cells","How many cells to use for status information if the display defines none of its own.",4,"integer",,,,,,,"{""title"":""Use How Many Status Cells"",""description"":""How many cells to use for status information if the display defines none of its own."",""type"":""integer"",""default"":4}"
